vote_average,title
5.3,Cotton Mary
7.5,Not One Less
0.0,Soft Toilet Seats
4.5,Trois
7.2,The Big Combo
0.0,Conceiving Ada
4.9,Eaten Alive
5.7,Raining Stones
7.6,"To Sir, with Love"
7.5,With Byrd at the South Pole
6.5,Boiler Room
5.0,Hanging Up
6.7,Pitch Black
6.3,The Whole Nine Yards
6.0,Beautiful People
7.1,Black Tar Heroin: The Dark End of the Street
7.2,Blue Collar
5.6,Bluebeard
8.0,The Circus
8.2,City Lights
6.0,The Flamingo Kid
7.1,A Dog's Life
8.0,The Kid
6.8,The Man from Laramie
0.0,The Wild McCullochs
3.4,Class Reunion
5.2,The Big Trees
5.0,Happy Go Lovely
5.3,Reindeer Games
6.9,Wonder Boys
6.1,Deterrence
4.8,Judy Berlin
6.8,Mifune
0.0,The Waiting Game
5.9,3 Strikes
5.9,Chain of Fools
5.4,Drowning Mona
4.3,The Next Best Thing
5.4,What Planet Are You From?
7.8,Beyond the Mat
7.2,Ghost Dog: The Way of the Samurai
7.3,The Year My Voice Broke
7.1,Splendor in the Grass
5.8,My Tutor
0.0,The Legend of Lobo
6.2,The Killing of Sister George
7.6,Key Largo
3.5,Jail Bait
5.3,It Happened Here
7.0,I'll Never Forget What's'isname
8.3,For All Mankind
6.6,Cross of Iron
4.2,Bride of the Monster
6.6,Born Yesterday
6.9,Birdy
3.8,And God Created Woman
5.3,Blood Feast
4.9,"Charlie, the Lonesome Cougar"
5.0,Color Me Blood Red
6.9,Never Cry Wolf
7.3,The Night Visitor
8.0,The Perils of Pauline
7.1,A Raisin in the Sun
6.2,Two Thousand Maniacs!
6.0,Brown's Requiem
4.5,The Closer You Get
5.7,Mission to Mars
6.3,The Ninth Gate
0.0,Condo Painting
7.5,East/West
6.5,Defending Your Life
7.4,Breaking Away
7.1,Hoosiers
6.6,Bull Durham
7.6,Dog Day Afternoon
6.9,American Graffiti
7.5,The Asphalt Jungle
7.7,The Searchers
6.4,The Devil's Brigade
7.8,The Big Country
6.9,Any Number Can Win
5.6,Betrayed
7.0,Bound for Glory
6.2,The Bridge at Remagen
5.0,Buck and the Preacher
6.8,Daughters of the Dust
6.1,Destination Moon
6.8,Hangmen Also Die!
6.4,The Ogre
6.7,On the Beach
6.6,Railroaded!
5.0,Slaves to the Underground
7.6,The Taking of Pelham One Two Three
5.6,Volunteers
7.5,JFK
5.5,Who's Harry Crumb?
5.6,Harry and the Hendersons
4.7,Let's Get Harry
2.9,Shanghai Surprise
5.2,Who's That Girl
5.4,She-Devil
5.6,Date With an Angel
5.6,Blind Date
5.5,Nadine
7.0,The Muppet Movie
6.9,The Great Muppet Caper
6.5,The Muppets Take Manhattan
6.5,Sesame Street Presents Follow That Bird
5.8,We're Back! A Dinosaur's Story
5.3,Baby: Secret of the Lost Legend
8.3,Turtle Diary
5.2,Raise the Titanic
6.2,Titanic
7.5,A Night to Remember
6.5,Captain Horatio Hornblower R.N.
7.3,The Carriers Are Waiting
7.1,Erin Brockovich
6.4,Final Destination
3.0,Babymother
6.9,The Bear
5.8,Impact
5.8,Love Is a Many-Splendored Thing
7.8,Mirror
6.9,The Crimson Pirate
7.2,Thelma & Louise
7.1,...And Justice for All
7.0,Animal House
6.2,She's Gotta Have It
6.1,School Daze
7.6,Do the Right Thing
6.3,Mo' Better Blues
6.0,Jungle Fever
6.2,Coogan's Bluff
6.7,The Champ
7.3,Creature Comforts
7.0,Death Wish
6.1,Death Wish 2
6.1,Death Wish 3
5.6,Death Wish 4: The Crackdown
5.0,Death Wish 5: The Face of Death
8.0,Double Indemnity
5.8,Dying Young
4.7,Cool as Ice
6.5,Teenage Mutant Ninja Turtles
5.8,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
5.1,Teenage Mutant Ninja Turtles III
6.4,Red Dawn
6.9,Band of the Hand
3.6,Born American
6.6,Bloodsport
5.7,Eyes of Laura Mars
6.8,Funny Bones
5.7,The Good Earth
7.1,"Good Morning, Vietnam"
4.7,The Good Mother
6.5,Grumpy Old Men
7.6,Guess Who's Coming to Dinner
6.0,Romeo Must Die
5.4,Here On Earth
5.1,Whatever It Takes
6.0,Buddy Boy
7.1,The Color of Paradise
6.5,Waking the Dead
3.3,Blood and Sand
5.8,Gothic
1.5,Hillbillys in a Haunted House
6.6,Lord of the Flies
8.1,Modern Times
4.6,National Lampoon's Last Resort
4.4,Solar Crisis
4.7,That's Life!
6.6,Heart and Souls
7.4,Hud
7.6,The Hustler
7.6,Inherit the Wind
8.0,Dersu Uzala
7.2,Close Encounters of the Third Kind
6.5,The City of the Dead
6.0,Retroactive
6.9,A Place in the Sun
7.3,Jacob's Ladder
6.6,Empire Records
6.8,La Bamba
6.8,Ladyhawke
6.4,Lucas
7.0,High Fidelity
7.0,The Road to El Dorado
5.7,The Skulls
7.3,Autopsy
4.0,Devil Girl from Mars
7.2,El Dorado
5.7,The Hideous Sun Demon
6.7,Hook
6.2,Horror Express
6.2,My Chauffeur
4.7,The Son of the Sheik
6.2,Torso
7.3,True Grit
6.8,Roadside Prophets
5.4,Madame Sousatzka
6.3,Max Dugan Returns
7.6,Midnight Express
7.6,Misery
5.2,Mr. Saturday Night
5.7,Murphy's Romance
6.2,My Life
7.7,Solaris
7.8,Network
6.9,No Way Out
6.2,North Dallas Forty
7.5,The Odd Couple
7.4,The Outlaw Josey Wales
4.6,Black and White
7.0,Frequency
4.7,Ready to Rumble
6.1,Return to Me
6.0,Rules of Engagement
6.8,Joe Gould's Secret
5.9,Me Myself I
6.4,"Bell, Book and Candle"
7.0,The Bells
5.1,The End of Violence
6.4,Force 10 from Navarone
6.6,How to Stuff a Wild Bikini
7.0,Mystery Train
6.8,Sacco & Vanzetti
6.4,Taffin
6.5,Arthur
5.8,Bachelor Party
6.4,Parenthood
7.3,Predator
5.9,The Prince of Tides
6.4,The Postman Always Rings Twice
6.6,Smoking / No Smoking
0.0,All the Vermeers in New York
6.6,An Actor's Revenge
6.0,28 Days
7.3,American Psycho
5.9,Keeping the Faith
5.5,Where the Money is
6.5,East Is East
7.3,The Filth and the Fury
5.8,Passion of Mind
0.0,Third World Cop
6.0,Coming Apart
6.9,Diner
5.5,Shakes the Clown
7.4,Cabaret
7.9,What Ever Happened to Baby Jane?
6.1,Prick Up Your Ears
6.4,Auntie Mame
6.9,Guys and Dolls
6.4,The Hunger
7.2,Marathon Man
6.7,Caddyshack
5.6,Gossip
7.5,Love & Basketball
6.1,U-571
7.1,The Virgin Suicides
5.8,Jennifer Eight
6.8,The Law
8.0,Limelight
6.7,Empire of Passion
0.0,Stacy's Knights
4.4,Committed
4.9,The Crow: Salvation
4.4,The Flintstones in Viva Rock Vegas
6.9,Where the Heart Is
6.8,The Big Kahuna
6.1,Bossa Nova
7.0,Smiling Fish & Goat On Fire
6.7,The Idiots
8.0,The Last September
5.9,Timecode
3.9,Carnosaur
4.8,Carnosaur 2
5.0,Carnosaur 3: Primal Species
4.8,Defying Gravity
6.7,The Hidden
5.0,Two Moon Junction
7.9,Gladiator
5.3,I Dreamed of Africa
6.2,Up at the Villa
6.8,Human Traffic
5.6,Breathless
5.2,The Great Locomotive Chase
6.5,The Idolmaker
6.6,Inferno
6.3,The King of Marvin Gardens
6.3,"The Nibelungs, Tale 1: Siegfried"
5.7,The Lords of Flatbush
6.5,Mr. Mom
7.4,Time Masters
3.0,Battlefield Earth
6.8,Center Stage
4.9,Held Up
4.9,Screwed
3.1,Whipped
6.0,Hamlet
6.3,Anchors Aweigh
5.2,Blue Hawaii
6.1,The Castaway Cowboy
6.3,G.I. Blues
5.0,The Gay Deceivers
6.5,Gypsy
6.5,King Creole
6.9,On the Town
6.9,One Little Indian
6.6,Pee-wee's Big Adventure
8.0,Regret to Inform
5.8,Roustabout
5.8,Saludos Amigos
6.8,The Slipper and the Rose
6.4,Things Change
5.5,Honeymoon in Vegas
6.2,Dinosaur
5.0,Loser
5.9,Road Trip
6.4,Small Time Crooks
6.4,The Hollywood Knights
3.4,The Myth Of Fingerprints
6.9,Possession
6.7,The Twelve Chairs
5.9,Mission: Impossible II
6.2,Shanghai Noon
4.0,Better Living Through Circuitry
6.3,8 ½ Women
6.7,Carnival of Souls
6.1,Flying Tigers
7.7,The Gold Rush
6.2,Lisa and the Devil
6.3,It's in the Water
7.9,Monsieur Verdoux
6.5,On Her Majesty's Secret Service
6.9,Seven Days in May
6.6,The Spy Who Loved Me
4.5,Those Who Love Me Can Take the Train
7.2,Vagabond
5.9,Moonraker
6.4,The Man with the Golden Gun
7.1,A King in New York
7.1,A Woman of Paris
4.4,In Old California
6.4,The Fighting Seabees
5.7,Dark Command
7.7,Cléo from 5 to 7
5.6,Big Momma's House
3.0,Running Free
6.4,The Abominable Snowman
5.9,American Gigolo
6.6,Anguish
6.0,The Blood Spattered Bride
5.9,City of the Living Dead
7.8,The Endless Summer
7.3,The Guns of Navarone
6.9,La Grande Bouffe
6.0,Lured
6.5,Pandora and the Flying Dutchman
6.2,Quatermass and the Pit
6.2,Quatermass II
5.5,Puppet Master
5.8,Puppet Master II
6.0,Puppet Master III Toulon's Revenge
4.9,Puppet Master 4
4.2,Puppet Master 5: The Final Chapter
3.6,Curse of the Puppet Master
2.5,Retro Puppet Master
4.6,Rent-a-Cop
7.3,Romeo and Juliet
6.0,Stay Tuned
4.8,The Story of G.I. Joe
7.2,Blazing Saddles
6.1,Benji
6.4,Benji the Hunted
5.6,For the Love of Benji
6.9,White Christmas
7.5,Eraserhead
8.0,Baraka
6.9,The Man with the Golden Arm
7.5,The Decline of Western Civilization
6.8,The Decline of Western Civilization Part II: The Metal Years
7.8,For a Few Dollars More
7.1,Magnum Force
7.3,Blood Simple
6.5,The Fabulous Baker Boys
6.5,Prizzi's Honor
6.3,Flatliners
7.4,Gandahar
6.1,Porky's
5.2,Porky's II: The Next Day
5.0,Porky's 3: Revenge
5.0,Private School
5.7,Class of Nuke 'Em High
6.3,The Toxic Avenger
5.3,The Toxic Avenger Part II
5.0,The Toxic Avenger Part III: The Last Temptation of Toxie
6.6,Night of the Creeps
6.0,Predator 2
6.4,The Running Man
6.6,Starman
6.6,The Brother from Another Planet
5.9,Alien Nation
6.6,Mad Max
7.3,Mad Max 2: The Road Warrior
5.9,Mad Max Beyond Thunderdome
5.9,Bird on a Wire
7.0,Angel Heart
5.8,Nine 1/2 Weeks
5.9,Firestarter
4.8,Sleepwalkers
4.9,Action Jackson
5.6,Sarafina!
6.0,Soapdish
6.4,The Long Walk Home
4.4,Clara's Heart
5.0,Burglar
5.3,Fatal Beauty
6.1,Gone in Sixty Seconds
6.4,American Pimp
5.4,Love's Labour's Lost
6.1,Sunshine
4.0,Trixie
5.2,American Virgin
6.7,Hamlet
6.9,Coming Home
7.2,American Pop
7.1,Assault on Precinct 13
6.8,Near Dark
6.7,One False Move
6.5,Shaft
7.5,The Conversation
6.3,Cutter's Way
6.2,The Fury
6.7,The Paper Chase
7.3,Prince of the City
7.5,Serpico
7.9,Ace in the Hole
7.5,Lonely Are the Brave
6.4,The Sugarland Express
7.3,Trouble in Paradise
7.1,Big Trouble in Little China
7.5,Badlands
7.6,Battleship Potemkin
5.4,Boys and Girls
5.5,Shaft
6.3,Titan A.E.
7.2,Butterfly
6.7,Jesus' Son
5.8,The Match
7.3,Time Regained
6.5,Chicken Run
6.1,"Me, Myself & Irene"
6.8,The Patriot
3.9,The Adventures of Rocky & Bullwinkle
6.2,The Perfect Storm
6.5,The Golden Bowl
5.9,Asylum
5.0,Communion
6.2,Fun & Fancy Free
6.4,The Kentucky Fried Movie
7.7,Bound by Honor
5.5,Daughter of Dr. Jekyll
6.4,F/X
5.8,F/X2
6.4,The Hot Spot
5.2,Missing in Action
5.0,Missing in Action 2: The Beginning
4.8,Braddock: Missing in Action III
6.6,Thunderbolt and Lightfoot
6.0,Dreamscape
6.4,The Golden Voyage of Sinbad
7.0,Hatchet for the Honeymoon
6.1,House Party
4.7,House Party 2
5.2,Make Mine Music
6.3,Melody Time
5.4,Nekromantik
6.0,On Our Merry Way
2.5,Project Moon Base
5.1,Rocketship X-M
5.4,Shaft in Africa
6.1,Shaft's Big Score!
6.7,Croupier
6.0,The Kid
6.0,Scary Movie
6.5,But I'm a Cheerleader
6.8,Shower
7.3,Blow-Up
7.3,The Pawnbroker
5.6,Groove
6.4,Footloose
6.2,Duel in the Sun
6.8,X-Men
5.7,Chuck & Buck
6.6,The Five Senses
5.8,The Wisdom of Crocodiles
4.7,The In Crowd
6.3,What Lies Beneath
6.4,Pokémon: The Movie 2000
6.6,Criminal Lovers
7.7,Anatomy of a Murder
5.0,Freejack
5.6,Greaser's Palace
5.1,H.O.T.S.
6.5,Knightriders
6.4,Mackenna's Gold
6.3,Sinbad and the Eye of the Tiger
7.6,Two Women
6.7,What About Bob?
5.5,White Sands
7.2,Breaker Morant
6.6,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask
6.7,Interiors
7.5,Love and Death
7.3,The Official Story
5.0,The Other Side of Sunday
7.3,Pot o' Gold
7.9,Tampopo
4.8,Thomas and the Magic Railroad
4.7,Nutty Professor II: The Klumps
7.1,The Girl on the Bridge
6.9,Wonderland
5.7,Autumn in New York
5.8,Coyote Ugly
5.6,Hollow Man
6.3,Space Cowboys
1.0,Better Living
4.6,Mad About Mambo
6.0,Psycho Beach Party
6.3,Saving Grace
6.9,Black Sabbath
4.4,The Brain That Wouldn't Die
5.2,Bronco Billy
5.5,The Crush
7.2,Kelly's Heroes
6.3,Phantasm II
5.6,Phantasm III: Lord of the Dead
4.9,Phantasm IV: Oblivion
5.9,Pumpkinhead
5.3,Air America
6.1,Sleepaway Camp
7.1,Steel Magnolias
6.2,...And God Created Woman
6.6,Easy Money
5.1,Ilsa: She Wolf of the SS
5.2,Silent Fall
6.6,The Spiral Staircase
5.2,What Ever Happened to Aunt Alice?
8.7,Margaret Cho: I'm the One That I Want
5.9,The Tao of Steve
6.3,Aimee & Jaguar
6.5,An Affair of Love
0.0,The Autumn Heart
4.9,Bless the Child
6.2,Cecil B. Demented
7.0,The Eyes of Tammy Faye
5.5,The Opportunists
6.2,The Replacements
5.4,About Adam
6.0,The Cell
5.9,Godzilla 2000
6.5,The Original Kings of Comedy
5.3,All the Rage
7.1,The Naked Gun: From the Files of Police Squad!
6.6,The Naked Gun 2½: The Smell of Fear
4.6,Our Town
7.3,Shane
7.0,"Suddenly, Last Summer"
6.5,Cat Ballou
5.6,A Couch in New York
6.7,The Devil Rides Out
6.7,Jerry and Tom
4.7,Supergirl
5.8,X: The Unknown
5.6,The Art of War
0.0,The Ballad of Ramblin' Jack
6.0,Phish: Bittersweet Motel
5.8,Bring It On
0.0,Catfish in Black Bean Sauce
6.4,The Crew
5.7,Love & Sex
6.2,Steal This Movie
0.0,Went to Coney Island on a Mission from God... Be Back by Five
6.5,Skipped Parts
4.4,Highlander: Endgame
5.0,Turn It Up
6.1,Anatomy
5.9,Nurse Betty
6.7,Alone
5.0,The Watcher
6.4,The Way of the Gun
7.4,Almost Famous
6.1,Bait
4.3,Circus
6.1,Crime + Punishment in Suburbia
5.5,Duets
5.5,Goya in Bordeaux
5.2,Urbania
5.0,Uninvited Guest
5.5,The Specials
6.4,Under Suspicion
4.4,Urban Legends: Final Cut
5.5,Woman on Top
7.7,Dancer in the Dark
6.7,Best in Show
5.8,Beautiful
1.0,Barenaked in America
6.3,The Broken Hearts Club: A Romantic Comedy
6.4,Girlfight
7.4,Remember the Titans
6.9,Hellraiser
6.3,Hellbound: Hellraiser II
5.3,Hellraiser III: Hell on Earth
6.4,"Faraway, So Close!"
6.8,Beach Party
6.7,Bikini Beach
5.7,Return of the Fly
6.3,Pajama Party
7.4,Stranger Than Paradise
5.4,Voyage to the Bottom of the Sea
6.7,Fantastic Voyage
7.4,Abbott and Costello Meet Frankenstein
6.8,The Bank Dick
6.7,Creature from the Black Lagoon
4.2,The Giant Gila Monster
7.3,The Invisible Man
4.3,The Killer Shrews
5.8,Kronos
5.6,Phantom of the Opera
5.0,Runaway
5.7,The Slumber Party Massacre
5.0,Slumber Party Massacre II
5.4,Slumber Party Massacre III
4.7,Sorority House Massacre
5.0,Sorority House Massacre II
6.3,Bamboozled
5.7,Bootmen
6.2,Digimon: The Movie
4.8,Get Carter
6.9,Get Carter
6.6,Meet the Parents
7.9,Requiem for a Dream
6.7,Tigerland
7.0,Two Family House
6.7,The Contender
4.6,Dr. T and the Women
5.8,Just Looking
5.7,The Ladies Man
4.5,Lost Souls
6.5,Billy Jack
6.4,Billy Jack Goes to Washington
7.5,The Time Machine
6.4,Haunted
4.2,Ghoulies
4.4,Ghoulies II
5.7,The Unsinkable Molly Brown
6.4,The Adventures of Ichabod and Mr. Toad
6.9,The Strange Love of Martha Ivers
7.3,Detour
7.4,Billy Elliot
5.6,Bedazzled
7.0,Pay It Forward
6.6,The Beyond
6.9,The Private Eyes
7.2,The Legend of Drunken Master
4.3,Book of Shadows: Blair Witch 2
6.0,The Little Vampire
4.9,Lucky Numbers
6.4,Stardom
5.6,Charlie's Angels
6.4,The Legend of Bagger Vance
5.2,Little Nicky
7.0,Men of Honor
5.4,Red Planet
6.4,What's Cooking?
6.8,You Can Count on Me
6.3,Diamonds Are Forever
6.4,The Eagle Has Landed
5.7,The 6th Day
5.5,Bounce
6.2,How the Grinch Stole Christmas
7.3,One Day in September
6.0,Rugrats in Paris: The Movie
5.1,102 Dalmatians
6.9,Malena
6.8,Quills
6.9,Unbreakable
7.2,"Crouching Tiger, Hidden Dragon"
3.9,Dungeons & Dragons
6.1,Proof of Life
5.9,Vertical Limit
6.5,The Bounty
6.0,Code of Silence
7.1,"Planes, Trains and Automobiles"
5.5,She's Having a Baby
6.4,Secrets of the Heart
6.2,The Living Daylights
7.1,The Transformers: The Movie
7.0,Wall Street
6.7,Born on the Fourth of July
6.7,Talk Radio
6.5,Brewster's Millions
7.7,Snatch
5.1,Punchline
5.3,Mr Accident
6.8,Chocolat
5.3,"Dude, Where’s My Car?"
7.2,The Emperor's New Groove
6.6,Pollock
6.1,What Women Want
7.0,Finding Forrester
6.4,The Gift
6.6,Before Night Falls
7.5,Cast Away
6.5,The Family Man
6.4,The House of Mirth
6.1,Miss Congeniality
6.8,Nowhere to Hide
7.3,"O Brother, Where Art Thou?"
5.6,Songcatcher
6.5,State and Main
4.6,Dracula 2000
5.8,All the Pretty Horses
6.0,An Everlasting Piece
6.9,Thirteen Days
6.9,Traffic
5.6,The Claim
6.6,Shadow of the Vampire
7.0,House of Games
5.7,Kill Me Again
6.2,Annie
5.8,Don't Tell Mom the Babysitter's Dead
6.8,An Officer and a Gentleman
6.5,The Alamo
6.7,At Close Range
4.7,Breaker! Breaker!
6.7,Breakheart Pass
6.1,Friendly Persuasion
6.6,Gettysburg
3.7,Imaginary Crimes
5.5,Rancho Deluxe
5.5,The St  Francisville Experiment
5.8,Antitrust
5.5,Double Take
6.3,Save the Last Dance
6.8,Panic
6.6,The Pledge
7.5,The Personals
0.0,The Amati Girls
5.4,Love Field
7.1,The Man in the Moon
6.0,Mystic Pizza
5.4,Prelude to a Kiss
7.2,Coffy
6.4,Foxy Brown
6.2,I'm Gonna Git You Sucka
6.5,Untamed Heart
5.7,Sugar & Spice
5.4,The Wedding Planner
6.9,Amy
6.4,Faithless
5.1,The Invisible Circus
5.4,The Legend of Rita
6.3,A Monkey's Tale
7.0,Two Ninas
6.7,"Harry, He's Here To Help"
6.3,Amazing Grace and Chuck
6.0,Amazon Women on the Moon
6.0,Baby Boom
5.9,Back to the Beach
7.3,Barfly
6.3,Best Seller
6.1,Beverly Hills Cop II
6.8,Beverly Hills Cop
6.2,The Big Easy
7.0,Big Shots
5.9,The Big Town
5.9,Born in East L.A.
6.8,The Brave Little Toaster
6.7,Can't Buy Me Love
6.0,Cherry 2000
6.6,Cop
6.2,Critical Condition
7.0,Cry Freedom
3.0,Curse
6.4,Dead of Winter
6.5,The Dead
5.0,Death Before Dishonor
4.4,Disorderlies
5.9,Dogs in Space
7.4,Eddie Murphy Raw
7.3,Empire of the Sun
5.5,Ernest Goes to Camp
7.3,The Evil Dead
5.7,Extreme Prejudice
5.7,Family Viewing
5.5,Five Corners
6.4,Flowers in the Attic
6.1,The Fourth Protocol
5.5,Gardens of Stone
6.0,Julia and Julia
6.2,The Glass Menagerie
5.8,"Good Morning, Babylon"
5.2,Hiding Out
5.7,Hollywood Shuffle
6.5,Hope and Glory
6.1,Hot Pursuit
5.5,Housekeeping
7.0,Hunk
6.6,Innerspace
6.4,Ironweed
4.3,Ishtar
3.5,Jaws: The Revenge
2.7,Leonard Part 6
6.1,Less Than Zero
5.3,Like Father Like Son
6.8,The Lost Boys
6.6,Made in Heaven
5.2,Maid to Order
3.8,Making Mr. Right
5.5,Mannequin
5.1,Masters of the Universe
4.5,Million Dollar Mystery
6.8,The Monster Squad
5.9,A Month in the Country
4.9,Morgan Stewart's Coming Home
5.9,My Demon Lover
6.1,No Man's Land
5.2,North Shore
5.3,Head Over Heels
4.0,Left Behind
5.0,Valentine
7.8,In the Mood for Love
6.0,Fever
5.9,The Million Dollar Hotel
5.9,Nico and Dani
6.4,Hannibal
5.4,Saving Silverman
5.0,Signs & Wonders
6.6,The Taste of Others
6.0,Vatel
4.9,Down to Earth
6.6,Recess: School's Out
6.4,Sweet November
5.3,Company Man
6.0,The Price of Milk
4.2,Monkeybone
5.8,3000 Miles to Graceland
6.7,The Widow of Saint-Pierre
5.8,The Mexican
4.8,See Spot Run
3.2,Carman: The Champion
6.0,The Caveman's Valentine
6.5,"Me, You, Them"
6.3,Series 7: The Contenders
5.7,15 Minutes
5.5,Get Over It
5.8,Blow Dry
2.5,Long Night's Journey Into Day
6.0,Avalon
6.3,Gray's Anatomy
7.4,Madadayo
6.0,The Mirror Crack'd
7.3,Of Mice and Men
8.4,Pixote
6.4,Reform School Girls
5.4,Tapeheads
5.9,Tuff Turf
7.4,The Unbelievable Truth
6.9,The Bishop's Wife
7.8,Elvis That's the Way It Is
7.0,The Fortune Cookie
6.7,Lilies of the Field
6.7,Hans Christian Andersen
6.5,The Greatest Story Ever Told
7.3,Elmer Gantry
6.5,Alfie
6.4,Demetrius and the Gladiators
6.6,The Fantasticks
6.7,I Know Where I'm Going!
6.9,The Abominable Dr. Phibes
6.5,"Die, Monster, Die!"
6.1,Real Life
5.9,Battle Beyond the Stars
5.4,Death Warrant
5.3,Double Impact
5.7,The End
6.2,Fuzz
6.1,Harley Davidson and the Marlboro Man
4.5,Losin' It
6.5,Mermaids
5.8,The Mighty Quinn
5.0,Unmade Beds
5.2,Rated X
6.8,Manhunter
6.6,Reversal of Fortune
6.7,Death on the Nile
5.0,DeepStar Six
6.6,Revenge of the Nerds
5.5,Revenge of the Nerds II: Nerds in Paradise
7.2,Longtime Companion
6.7,4 Little Girls
6.7,River's Edge
6.5,Girls Just Want to Have Fun
6.4,The Longest Yard
5.5,Necessary Roughness
5.3,C.H.U.D.
7.2,Enemy at the Gates
5.3,Exit Wounds
6.6,The Dish
8.1,Memento
6.8,The Brothers
5.8,Heartbreakers
4.8,Say It Isn't So
6.0,Someone Like You...
5.5,Spy Kids
4.9,Tomcats
6.2,The Tailor of Panama
7.6,Amores perros
8.0,Keep the River on Your Right: A Modern Cannibal Tale
7.0,The Gleaners & I
6.1,Along Came a Spider
7.4,Blow
4.9,Just Visiting
6.0,Pokémon: Spell of the Unknown
6.0,Pokémon: Spell of the Unknown
5.9,Beautiful Creatures
7.3,Brigham City
4.1,The Day I Became a Woman
6.0,Shadow Magic
6.6,Bridget Jones's Diary
5.5,Joe Dirt
5.2,Josie and the Pussycats
8.0,Kingdom Come
4.9,The Body
6.7,Chopper
6.6,The Circle
4.7,Crocodile Dundee in Los Angeles
4.5,Freddy Got Fingered
4.4,The Center of the World
0.0,The Girl
0.0,The Low Down
6.6,The Luzhin Defence
0.0,The Visit
7.3,Lilies
8.0,Scarface
7.5,Days of Wine and Roses
4.5,Driven
4.9,The Forsaken
5.7,One Night at McCool's
4.1,Town & Country
6.0,Rat
6.0,The Mummy Returns
6.6,Eureka
5.8,Tuvalu
6.4,Under the Sand
6.7,Cleopatra
5.8,Krull
7.3,Lost in America
6.6,The Lost World
6.9,Triumph of the Will
6.3,True Believer
6.9,The World According to Garp
5.3,Candy
7.0,Fellini Satyricon
6.6,Roma
5.9,Frankie and Johnny
6.6,Frankie and Johnny
7.0,A Home of Our Own
6.3,Paris When It Sizzles
6.0,Pola X
6.8,City of Women
6.5,For the Boys
6.7,Nine to Five
6.9,Norma Rae
6.5,Summer Rental
6.7,"The 5,000 Fingers of Dr. T."
5.8,Catchfire
6.6,Love Story
6.9,Pelle the Conqueror
7.7,Rififi
6.6,A Knight's Tale
6.3,Bread and Roses
6.0,Calle 54
5.8,The King Is Alive
5.8,Sordid Lives
6.3,Startup.com
5.5,Angel Eyes
7.3,Shrek
5.8,Fast Food Fast Women
7.4,Moulin Rouge!
5.4,Little Brothers
6.6,Pearl Harbor
9.0,Bloody Angels
6.9,Himalaya
5.8,The Man Who Cried
6.4,Our Song
6.3,Ice Castles
5.4,Love Potion No. 9
6.3,Postcards from the Edge
5.8,Apache
5.7,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson"
6.2,City Slickers
7.5,Eight Men Out
6.8,The Horse Soldiers
6.0,The Kentuckian
7.7,La Notte
7.4,Mississippi Burning
7.4,The Magnificent Seven
5.3,Return of the Seven
7.6,Rio Bravo
6.7,The Scarlet Empress
5.6,Semi-Tough
6.4,Suspect
6.0,Throw Momma from the Train
7.7,Yi Yi
5.4,Midnight Madness
7.1,Nightwatch
7.2,The Sand Pebbles
7.0,Twelve O'Clock High
6.7,Von Ryan's Express
4.6,The Animal
5.1,What's the Worst That Could Happen?
6.1,Big Eden
5.7,Evolution
6.1,Swordfish
6.4,The Anniversary Party
0.0,Bride of the Wind
7.6,Divided We Fall
6.6,Whatever Happened to Harold Smith?
6.7,Catch-22
6.9,Forgotten Silver
6.9,Point Break
5.9,Shag
6.2,Uncommon Valor
5.8,Unlawful Entry
5.8,Youngblood
7.1,Gentlemen Prefer Blondes
6.9,How to Marry a Millionaire
6.1,Macabre
7.0,The Seven Year Itch
6.7,There's No Business Like Show Business
6.9,Tootsie
5.9,The Boys Next Door
6.4,Too Late the Hero
5.3,Pavilion of Women
6.7,Atlantis: The Lost Empire
5.7,Lara Croft: Tomb Raider
4.9,Dr. Dolittle 2
6.6,The Fast and the Furious
6.8,A.I. Artificial Intelligence
7.3,Baby Boy
6.6,Crazy/Beautiful
5.4,Pootie Tang
5.0,Snow days
5.1,Funny Felix
7.0,Down from the Mountain
0.0,Russian Doll
7.0,Sexy Beast
5.0,"South of Heaven, West of Hell"
7.1,The Princess and the Warrior
6.2,The Closet
6.5,Wolves
6.8,The Crimson Rivers
5.5,Lumumba
4.5,Pandaemonium
5.0,Cats & Dogs
6.4,Kiss of the Dragon
5.4,Scary Movie 2
6.8,Lost and Delirious
4.2,Baise-moi
6.7,The Vertical Ray of the Sun
6.3,Alice
6.8,Another Woman
7.0,Beach Blanket Bingo
8.1,Big Deal on Madonna Street
6.2,The Cannonball Run
5.4,Cannonball Run II
4.1,Speed Zone
7.2,Diary of a Chambermaid
5.7,Donovan's Brain
6.0,Donovan's Reef
6.1,Dr. Goldfoot and the Bikini Machine
6.5,House of Usher
7.8,Faust
7.7,The Last Laugh
7.4,The Man Who Shot Liberty Valance
7.0,Salvador
6.3,September
7.0,Shadows and Fog
6.5,Something Wild
7.0,The Sons of Katie Elder
3.9,The Thing with Two Heads
3.3,Village of the Giants
6.4,X: The Man with the X-Ray Eyes
6.6,Nice Dreams
7.3,The Day the Earth Caught Fire
5.8,The House by the Cemetery
6.1,Things Are Tough All Over
7.4,All That Heaven Allows
6.7,The Barefoot Contessa
5.2,The Blackout
